publication_id,doi,url,title,authors_short,journal,year,published_date,issue_pages,citation_raw_examples,validation_status,source_record_count
pub_9f1b0b1c7ae5,10.1103/physrevb.92.085428,,,,,,,,10.1103/physrevb.92.085428,unvalidated,3
pub_97762c2b1a19,10.1103/physrevlett.84.2941,,,,,,,,10.1103/physrevlett.84.2941,unvalidated,1
pub_bb9df8d34dc4,10.1103/physrevlett.86.3128,,,,,,,,10.1103/physrevlett.86.3128,unvalidated,3
pub_55f3e5edb48f,10.1103/physrevlett.87.215502,,,,,,,,10.1103/physrevlett.87.215502,unvalidated,3
pub_b65ee8aedabb,10.1103/physrevlett.94.236802,,,,,,,,10.1103/physrevlett.94.236802,unvalidated,12
pub_8e2d572d9239,10.1103/physrevlett.95.065502,,,,,,,,10.1103/physrevlett.95.065502,unvalidated,3
pub_172bf9082e1b,10.1103/physrevlett.95.086601,,,,,,,,10.1103/physrevlett.95.086601,unvalidated,1
pub_8d8aed47ddb8,10.1103/physrevlett.98.186808,,,,,,,,10.1103/physrevlett.98.186808,unvalidated,1
pub_1fc88b4b799d,10.1103/physrevmaterials.2.116001,,,,,,,,10.1103/physrevmaterials.2.116001,unvalidated,3
pub_3cc2871da0b7,10.1109/tnano.2002.1005429,,,,,,,,10.1109/tnano.2002.1005429,unvalidated,3
pub_bfcebbce669e,10.1109/tns.2017.2779580,,,,,,,,10.1109/tns.2017.2779580,unvalidated,4
pub_8527606b8024,10.1126/sciadv.abn0939,,,,,,,,https://www.science.org/doi/10.1126/sciadv.abn0939 || https://doi.org/10.1126/sciadv.abn0939,unvalidated,35
pub_3c93a2e81f57,10.1126/sciadv.abq3515,,,,,,,,https://doi.org/10.1126/sciadv.abq3515 || https://www.science.org/doi/10.1126/sciadv.abq3515,unvalidated,3
pub_ea60d5b7ac82,10.1126/science.1094982,,,,,,,,10.1126/science.1094982,unvalidated,1
pub_6f1f8360b3aa,10.1126/science.1101398,,,,,,,,10.1126/science.1101398,unvalidated,3
pub_de4956a85377,10.1126/science.1104276,,,,,,,,10.1126/science.1104276,unvalidated,1
pub_a87667eabcf4,10.1126/science.1147635,,,,,,,,10.1126/science.1147635,unvalidated,1
pub_9d4d2547e171,10.1126/science.1228061,,,,,,,,10.1126/science.1228061 10.1021/acsami.7b10968 || http://www.matweb.com/ & 10.1126/science.1228061 || https://doi.org/10.1021/acsami.7b10968 https://doi.org/10.1126/science.1228061,unvalidated,11
pub_1333739c774c,10.1126/science.272.5261.523,,,,,,,,10.1126/science.272.5261.523,unvalidated,6
pub_4c245897ce2a,10.1126/science.280.5370.1744,,,,,,,,10.1126/science.280.5370.1744,unvalidated,1
pub_cbfc7a6ee6fa,10.1126/science.287.5453.637,,,,,,,,10.1126/science.287.5453.637,unvalidated,7
pub_0eb2a21cdab1,10.1126/science.adj1082,,,,,,,,Carbon nanotube fibers with dynamic strength up to 14 GPa. Science (2024). https://doi.org/10.1126/science.adj1082,unvalidated,8
pub_d6c65bb815b8,10.1126/science.aeb0673,,,,,,,,10.1126/science.aeb0673 || https://www.science.org/doi/epdf/10.1126/science.aeb0673,unvalidated,4
pub_c7dbaa5582d7,10.1143/jjap.29.125,,,,,,,,10.1143/jjap.29.125,unvalidated,2
pub_f01a100e7c7b,10.1186/1556-276x-8-546,,,,,,,,10.1186/1556-276x-8-546,unvalidated,12
pub_6da2be520045,10.1557/jmr.1989.1560,,,,,,,,10.1557/jmr.1989.1560,unvalidated,4
pub_41b660291982,10.1557/jmr.2010.0209,,,,,,,,10.1557/jmr.2010.0209,unvalidated,2
pub_2cff13613831,10.3390/molecules25051144,,,,,,,,10.3390/molecules25051144,unvalidated,3
pub_b0836e122aaa,10.3390/nano10020365,,,,,,,,10.3390/nano10020365,unvalidated,3
pub_74ca73c2dfb0,10.3390/nano9081113,,,,,,,,10.3390/nano9081113,unvalidated,12
pub_42fd0933f2c9,10.3897/j.moem.5.1.39452,,,,,,,,10.3897/j.moem.5.1.39452,unvalidated,4
pub_b45f0ba29df8,10.7567/apex.9.025102,,,,,,,,10.7567/apex.9.025102,unvalidated,4
pub_30a959f9ffd5,,http://mccfc.com/pitch-fiber/,,,,,,,http://mccfc.com/pitch-fiber/,unvalidated,4
pub_c7725d385967,,http://toyobo.cn/seihin/kc/pbo/zylon-p/bussei-p/technical.pdf,,,,,,,http://toyobo.cn/seihin/kc/pbo/zylon-p/bussei-p/technical.pdf,unvalidated,4
pub_9509067ba0c5,,http://www.matweb.com/,,,,,,,"http://www.matweb.com/ || http://www.matweb.com/ & A. Mikhalchan, J.J. Vilatela / Carbon 150 (2019) 191e21 || http://www.matweb.com/ & book： Physical properties of textile fibres",unvalidated,15
pub_7d1b4ce61898,,https://www.cf-composites.toray/resources/data_sheets/#anc0,,,,,,,"https://www.cf-composites.toray/resources/data_sheets/#anc0 & A. Mikhalchan, J.J. Vilatela / Carbon 150 (2019) 191e21 || https://www.cf-composites.toray/resources/data_sheets/#anc0",unvalidated,9
pub_c11880835fec,,https://www.epsilon-composite.com/en/carbon-fiber-grades,,,,,,,https://www.epsilon-composite.com/en/carbon-fiber-grades,unvalidated,1
pub_19e6c25be938,,https://www.hexcel.com/Resources/DataSheets/Carbon-Fiber,,,,,,,https://www.hexcel.com/Resources/DataSheets/Carbon-Fiber,unvalidated,16
pub_5afb3926e46d,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7a321b89269943629bb6d7a0a4a357b2,,,,,,,https://www.matweb.com/search/DataSheet.aspx?MatGUID=7a321b89269943629bb6d7a0a4a357b2,unvalidated,1
pub_723eecd82321,,https://www.matweb.com/search/datasheet.aspx?matguid=1980eb23287a4408adc404dd39293942&ckck=1,,,,,,,https://www.matweb.com/search/datasheet.aspx?matguid=1980eb23287a4408adc404dd39293942&ckck=1,unvalidated,1
pub_83d10cc60195,,https://www.ngfworld.com/en/skill.html,,,,,,,https://www.ngfworld.com/en/skill.html,unvalidated,6
pub_7942a46354ae,,https://www.teijincarbon.com/downloads,,,,,,,https://www.teijincarbon.com/downloads,unvalidated,4
pub_054131912890,,www.honeywell.com/spectra,,,,,,,www.honeywell.com/spectra,unvalidated,2
pub_4ea33ec44d0c,,,,,,,,,book： Physical properties of textile fibres,unvalidated,1
pub_0ed21cb7d9f2,,,,,,,,,Carpenter AerMet® 340 Datasheet,unvalidated,1
pub_54b937f285d4,10.1038/s41563-025-02384-7,https://www.nature.com/articles/s41563-025-02384-7,High-performance graphene-based carbon fibres prepared at room temperature via domain folding,Peng Li et al.,Nature Materials,2026.0,2025-10-20,"25, 191-198",https://www.nature.com/articles/s41563-025-02384-7 || High-performance graphene-based carbon fibres prepared at room temperature via domain folding. Nature Materials (2025-10-20). https://doi.org/10.1038/s41563-025-02384-7,verified_from_nature_page,2
